0,1,2,3,4,5,6,7
-6378.271446021968,-3135.938571207353,-6408.714521970096,-6128.244832544903,-28167.57895560014,-40995.08863628968,-50953.640157418275,-111646.24829843621
-6383.568809457875,-6266.758592934441,-6408.066321380892,-6124.154463309582,-28166.90840326648,-40993.814586855726,-50956.300015008455,-111644.77308330216
-6375.253960520502,-6262.824685910307,-6408.736873714552,-6128.647163945099,-28170.171757956956,-40999.26841250282,-50958.71400340963,-111648.28230718164
-6366.559131927387,-6258.399040508157,-6406.144071357736,-6124.847367387697,-28168.361266656077,-40997.927307835496,-50958.91516910973,-111646.38240890294
-6365.754469126996,-6251.771748277159,-6405.875850424272,-6127.842501144708,-28170.66349633497,-41002.7776363823,-50961.44091623317,-111649.06461823758
-6374.181076786647,-6248.798966264601,-6404.534745756954,-6126.143768566105,-28170.57408935715,-41002.01767707082,-50962.580855200395,-111647.87997578144
-6381.065414078881,-6240.886448727423,-6404.64650447923,-6124.668553432054,-28171.401103901997,-41002.174139282004,-50965.531285468496,-111647.12001646997
-6400.690245710641,-6241.646408038903,-6406.479347524566,-6123.685076676021,-28173.032781247235,-40998.66491540252,-50968.77228841452,-111644.66132457988
-6436.341278116855,-6234.270332368653,-6407.284010324956,-6118.253602773381,-28172.85396729159,-40993.814586855726,-50972.46032624964,-111640.23567917773
-6483.145831006269,-6234.303859985335,-6410.837937693351,-6117.471291717446,-28175.53617662623,-40987.936078063976,-50975.880143151306,-111636.39117913142
-6534.398381042288,-6229.598817777493,-6415.263583095501,-6109.82699511373,-28176.34083942662,-40978.704807603935,-50982.00452113206,-111629.81976626156
-6564.170904656757,-6232.66100676787,-6420.739760487051,-6106.585992167711,-28178.710124338882,-40966.321941175695,-50985.446689778175,-111621.43786209081
-6573.223361161156,-6227.676567754337,-6427.154711145725,-6092.4149861830465,-28177.972516771857,-40947.74764153334,-50992.59924800388,-111607.73624273972
-6567.3001488805,-6229.174134632842,-6434.2178623936015,-6082.468459900434,-28178.330144683143,-40923.3618883326,-50995.68378873871,-111590.45834427576
-6560.706384266185,-6225.888428197912,-6446.108990443825,-6062.798924779764,-28178.374848172054,-40894.50578624079,-51006.770253988536,-111570.34177426598
-6552.771514984551,-6231.141088144909,-6458.290691171967,-6057.412154366035,-28183.314583696676,-40873.964533086364,-51013.92281221424,-111556.64015491489
-6539.025192144536,-6225.106117141977,-6464.951511019649,-6043.039982681273,-28182.465217407374,-40856.910152066965,-51020.78479776202,-111542.84912858596
-6521.702590191673,-6224.681433997326,-6471.6123308673305,-6047.5773868057,-28188.54489189922,-40854.540867154705,-51024.83046350843,-111540.61395414043
-6513.0524650874695,-6215.953077787528,-6470.986482022582,-6037.832026223186,-28185.57210988666,-40848.34943394059,-51026.52919608703,-111533.61785812592
-6508.38095049631,-6210.376317545929,-6470.897075044761,-6043.889348970574,-28188.43313317694,-40851.5904368866,-51025.72453328664,-111534.7801488376
-6500.446081214676,-6201.36856453044,-6470.762964578029,-6037.250880867348,-28187.136731998533,-40849.310558952166,-51029.077294954935,-111531.4273871693
-6494.724034634118,-6194.5512824715715,-6467.566665120919,-6039.798979735253,-28186.980269787346,-40850.02581477473,-51025.94805073119,-111530.1309859909
-6494.433461956199,-6183.1071893104545,-6463.073964485403,-6033.00404942084,-28183.13576974103,-40849.75759384127,-51025.545719331,-111527.73934933417
-6497.9650375801375,-6176.234027890448,-6462.761040063029,-6041.832988480686,-28187.53906339873,-40859.927637568435,-51026.79741702049,-111534.55663139303
-6498.724996891618,-6167.382737086145,-6458.08952547187,-6036.602680278144,-28184.521577897263,-40861.112280024565,-51026.61860306485,-111533.61785812592
